Reference,Connector pin,CM5 pin,Signal
J1,1,1,GND
J1,2,2,GND
J1,3,3,Ethernet_Pair3_P
J1,4,4,Ethernet_Pair1_P
J1,5,5,Ethernet_Pair3_N
J1,6,6,Ethernet_Pair1_N
J1,7,7,GND
J1,8,8,GND
J1,9,9,Ethernet_Pair2_N
J1,10,10,Ethernet_Pair0_N
J1,11,11,Ethernet_Pair2_P
J1,12,12,Ethernet_Pair0_P
J1,13,13,GND
J1,14,14,GND
J1,15,15,Ethernet_nLED3(3.3v)
J1,16,16,FAN_TACHO
J1,17,17,Ethernet_nLED2(3.3v)
J1,18,18,Ethernet_SYNC_OUT(3.3v)
J1,19,19,FAN_PWM
J1,20,20,EEPROM_nWP
J1,21,21,LED_nACT
J1,22,22,GND
J1,23,23,GND
J1,24,24,GPIO26
J1,25,25,GPIO21
J1,26,26,GPIO19
J1,27,27,GPIO20
J1,28,28,GPIO13
J1,29,29,GPIO16
J1,30,30,GPIO6
J1,31,31,GPIO12
J1,32,32,GND
J1,33,33,GND
J1,34,34,GPIO5
J1,35,35,ID_SC
J1,36,36,ID_SD
J1,37,37,GPIO7
J1,38,38,GPIO11
J1,39,39,GPIO8
J1,40,40,GPIO9
J1,41,41,GPIO25
J1,42,42,GND
J1,43,43,GND
J1,44,44,GPIO10
J1,45,45,GPIO24
J1,46,46,GPIO22
J1,47,47,GPIO23
J1,48,48,GPIO27
J1,49,49,GPIO18
J1,50,50,GPIO17
J1,51,51,GPIO15
J1,52,52,GND
J1,53,53,GND
J1,54,54,GPIO4
J1,55,55,GPIO14
J1,56,56,GPIO3
J1,57,57,SD_CLK
J1,58,58,GPIO2
J1,59,59,GND
J1,60,60,GND
J1,61,61,SD_DAT3
J1,62,62,SD_CMD
J1,63,63,SD_DAT0
J1,64,64,SD_DAT5
J1,65,65,GND
J1,66,66,GND
J1,67,67,SD_DAT1
J1,68,68,SD_DAT4
J1,69,69,SD_DAT2
J1,70,70,SD_DAT7
J1,71,71,GND
J1,72,72,SD_DAT6
J1,73,73,SD_VDD_Override
J1,74,74,GND
J1,75,75,SD_PWR_ON
J1,76,76,VBAT
J1,77,77,+5v_(Input)
J1,78,78,GPIO_VREF(1.8v/3.3v_Input)
J1,79,79,+5v_(Input)
J1,80,80,SCL0
J1,81,81,+5v_(Input)
J1,82,82,SDA0
J1,83,83,+5v_(Input)
J1,84,84,+3.3v_(Output)
J1,85,85,+5v_(Input)
J1,86,86,+3.3v_(Output)
J1,87,87,+5v_(Input)
J1,88,88,+1.8v_(Output)
J1,89,89,WiFi_nDisable
J1,90,90,+1.8v_(Output)
J1,91,91,BT_nDisable
J1,92,92,PWR_BUT
J1,93,93,nRPIBOOT
J1,94,94,CC1
J1,95,95,LED_nPWR
J1,96,96,CC2
J1,97,97,CAM_GPIO0
J1,98,98,GND
J1,99,99,PMIC_ENABLE
J1,100,100,CAM_GPIO1
J2,1,101,USB_OTG_ID
J2,2,102,PCIe_nCLKREQ
J2,3,103,USB2_N
J2,4,104,PCIE_nWAKE
